Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Mean,Bwd IAT Mean,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Label
5510268.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7259175,1836756.0,3160834.0,5486547.0,13.0,2755134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,BENIGN
47.0,2.0,0.0,31.0,0.0,31.0,0.0,15.5,21.920311,0.0,0.0,0.0,0.0,659574.44,42553.19,47.0,0.0,47.0,47.0,47.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,31.0,BENIGN
28700138.0,6.0,6.0,455.0,1974.0,431.0,0.0,75.833336,174.01198,1962.0,0.0,329.0,800.0087,84.633736,0.41811645,2609103.5,4452522.5,10000000.0,54.0,4022561.8,5732613.0,0.0,0.0,0.0,1.0,0.0,1.0,202.41667,BENIGN
5979900.0,9.0,6.0,784.0,3653.0,517.0,0.0,87.111115,175.92572,1448.0,0.0,608.8333,673.6208,741.98566,2.508403,427135.72,1435438.4,5408080.0,4.0,747487.5,72321.4,0.0,0.0,0.0,1.0,0.0,0.0,295.8,BENIGN
731035.0,3.0,5.0,26.0,11601.0,20.0,0.0,8.666667,10.263203,5840.0,0.0,2320.2,2436.833,15904.848,10.943389,104433.57,269988.53,716609.0,15.0,7030.0,182723.75,0.0,0.0,0.0,1.0,0.0,1.0,1453.375,DDoS_LOIC_HTTP
59569.0,3.0,6.0,318.0,11595.0,318.0,0.0,106.0,183.59738,7240.0,0.0,1932.5,2695.6392,199986.56,151.0853,7446.125,16822.459,48205.0,6.0,5500.0,11912.6,0.0,0.0,0.0,1.0,0.0,2.0,1323.6666,DoS_Hulk
2403702.0,11.0,13.0,901.0,5768.0,355.0,0.0,81.90909,114.89774,2274.0,0.0,443.69232,761.79663,2774.4705,9.984599,104508.78,403720.47,1951199.0,1.0,40333.3,196091.08,0.0,0.0,0.0,1.0,0.0,1.0,277.875,BENIGN
116930450.0,16.0,14.0,811.0,6637.0,197.0,0.0,50.6875,74.76516,1448.0,0.0,474.07144,621.61505,63.695984,0.25656277,4032084.5,15000000.0,58300000.0,1.0,7795363.0,8992376.0,0.0,0.0,0.0,1.0,0.0,0.0,248.26666,BENIGN
9163838.0,5.0,0.0,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.2737374,0.5456229,2290959.5,4580593.5,9161850.0,3.0,2290959.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.2,DDoS_LOIC_HTTP
8179788.0,5.0,0.0,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.6675768,0.6112628,2044947.0,4088564.8,8177794.0,3.0,2044947.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.2,DDoS_LOIC_HTTP
107380400.0,40.0,48.0,2827.0,71543.0,2481.0,0.0,70.675,392.7439,4344.0,0.0,1490.4791,1175.2877,692.5845,0.8195164,1234257.5,3264291.0,10000000.0,6.0,2753343.8,2140034.0,0.0,0.0,0.0,1.0,0.0,1.0,845.11365,BENIGN
251005.0,6.0,8.0,1034.0,5104.0,696.0,0.0,172.33333,269.13614,1460.0,0.0,638.0,689.5185,24453.695,55.77578,19308.076,25940.918,65030.0,1.0,37194.2,28538.857,0.0,0.0,0.0,1.0,0.0,1.0,438.42856,BENIGN
85920290.0,6.0,6.0,349.0,11595.0,331.0,0.0,58.166668,133.69281,7240.0,0.0,1932.5,3126.6826,139.01257,0.13966434,7810935.5,25800000.0,85700000.0,4.0,17200000.0,17200000.0,1.0,0.0,0.0,0.0,0.0,1.0,995.8333,DoS_Hulk
99773816.0,8.0,6.0,357.0,11595.0,357.0,0.0,44.625,126.21856,5792.0,0.0,1932.5,2362.7815,119.79095,0.14031738,7674909.0,27700000.0,99700000.0,1.0,14200000.0,10316.8,0.0,0.0,0.0,0.0,1.0,0.0,853.7143,DoS_Hulk
8736347.0,8.0,5.0,335.0,11632.0,335.0,0.0,41.875,118.440384,5840.0,0.0,2326.4,3185.5996,1369.7944,1.4880362,728028.94,1721030.4,5000873.0,51.0,533639.1,2184074.0,0.0,0.0,0.0,1.0,0.0,0.0,920.53845,DoS_GoldenEye
100203720.0,9.0,8.0,978.0,11595.0,318.0,0.0,108.666664,157.0191,5792.0,0.0,1449.375,1895.881,125.47438,0.16965438,6262732.5,24900000.0,99600000.0,2.0,12500000.0,14300000.0,1.0,0.0,0.0,0.0,0.0,0.0,739.94116,DoS_Hulk
58959.0,1.0,4.0,0.0,1983.0,0.0,0.0,0.0,0.0,1448.0,0.0,495.75,683.0951,33633.543,84.804695,14739.75,20409.947,43311.0,2.0,0.0,5216.0,0.0,0.0,0.0,0.0,1.0,4.0,396.6,DoS_Slowhttptest
85018100.0,7.0,5.0,368.0,11595.0,368.0,0.0,52.57143,139.09093,5792.0,0.0,2319.0,3170.4038,140.71121,0.14114642,7728918.0,25600000.0,84900000.0,1.0,14100000.0,37355.25,0.0,0.0,0.0,0.0,1.0,0.0,996.9167,DoS_Hulk
81740260.0,10.0,6.0,333.0,11595.0,327.0,0.0,33.3,103.21288,8688.0,0.0,1932.5,3384.303,145.92566,0.195742,5449350.5,20800000.0,80600000.0,0.0,9066526.0,35295.2,0.0,0.0,0.0,0.0,1.0,0.0,745.5,DoS_Hulk
24.0,1.0,1.0,8.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,333333.34,83333.336,24.0,0.0,24.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,DoS_Slowloris
42894.0,3.0,4.0,26.0,11601.0,20.0,0.0,8.666667,10.263203,8675.0,0.0,2900.25,4088.042,271063.56,163.193,7149.0,10905.296,24206.0,60.0,9225.0,14269.667,0.0,0.0,0.0,1.0,0.0,1.0,1661.0,DDoS_LOIC_HTTP
98786720.0,5.0,7.0,339.0,11595.0,327.0,0.0,67.8,144.92825,4344.0,0.0,1656.4286,1760.5973,120.80571,0.12147381,8980611.0,29700000.0,98700000.0,38.0,24700000.0,16500000.0,1.0,0.0,0.0,0.0,0.0,1.0,995.0,DoS_Hulk
115945930.0,16.0,14.0,561.0,504.0,477.0,0.0,35.0625,117.859505,498.0,0.0,36.0,132.98236,9.185316,0.2587413,3998135.5,4861801.0,10000000.0,37.0,7729728.5,8528554.0,0.0,0.0,0.0,1.0,0.0,0.0,35.5,BENIGN
4377.0,2.0,0.0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2741.6038,456.93396,4377.0,0.0,4377.0,4377.0,4377.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,BENIGN
60927096.0,14.0,14.0,1077.0,3260.0,696.0,0.0,76.92857,187.25238,1460.0,2.0,232.85715,516.5253,71.18343,0.45956564,2256559.2,4218614.0,10000000.0,48.0,4686700.0,4682772.5,0.0,0.0,0.0,1.0,0.0,1.0,154.89285,BENIGN
2129756.0,4.0,0.0,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,11.268896,1.8781494,709918.7,1228969.1,2129010.0,320.0,709918.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.5,DDoS_LOIC_HTTP
